params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_solver,param_alpha
"{'solver': 'auto', 'alpha': 1.4130259905995336e-05}",0.001993861333176028,0.0006129678618083697,0.0002711809987279897,2.3838126053744e-05,0.8774489190764609,0.8638494703712353,0.913063154362595,0.8847127708145905,0.020727109300955053,1,auto,1.4130259905995336e-05
"{'solver': 'svd', 'alpha': 0.0009461848194722001}",0.04377670833370454,0.023481703271819632,0.0003452779989553771,4.65044334434354e-05,0.8772373979854592,0.8592688706525181,0.9144262226955588,0.8835631583596409,0.022944872952309577,2,svd,0.0009461848194722001
"{'solver': 'svd', 'alpha': 0.00018632463119315598}",0.02930762500182027,0.005218493215881089,0.0004893336663371883,0.00020532233059697506,0.8773481951399478,0.8585591084562182,0.9135932003077597,0.8830867652512916,0.02281776669146286,3,svd,0.00018632463119315598
"{'solver': 'cholesky', 'alpha': 4.577840538376616e-06}",0.0020530833329151696,0.0013223782662558558,0.00025459699948745157,4.285390370751375e-05,0.8775384500128659,0.8568992724810205,0.9127880199311031,0.8823286349159015,0.023052487645203918,4,cholesky,4.577840538376616e-06
"{'solver': 'auto', 'alpha': 4.577840538376616e-06}",0.0016538196675052557,0.0003648107983842592,0.0002702636666072067,3.080029750058081e-05,0.8775384500128659,0.8568992724810205,0.9127880199311031,0.8823286349159015,0.023052487645203918,4,auto,4.577840538376616e-06
"{'solver': 'sag', 'alpha': 1.2220446866314887e-05}",0.013656971666932805,0.0027860152796996703,0.0003305136682077621,6.097618238361809e-05,0.8660829592488326,0.8606604423092142,0.9155353877140725,0.8806680811838028,0.024657487884742996,6,sag,1.2220446866314887e-05
"{'solver': 'lsqr', 'alpha': 0.00023086779941871696}",0.03265129166781359,0.005395197276363967,0.0007871943344071042,0.0006408204498249346,0.864683456405809,0.8596337254050825,0.9159258759087,0.8799866906696826,0.02539662433996503,7,lsqr,0.00023086779941871696
"{'solver': 'sparse_cg', 'alpha': 0.00029817722900196735}",0.048009110999070494,0.014585856341569602,0.0004701946672867052,0.000227014705045267,0.8645082025127729,0.8596114136832719,0.9159784392574846,0.879938091061423,0.02546264879241759,8,sparse_cg,0.00029817722900196735
"{'solver': 'sparse_cg', 'alpha': 1.915500555573528e-05}",0.03377647266703813,0.0076853310786246095,0.000319361000341208,2.357258750582731e-05,0.8645086757115119,0.8596050388454529,0.9159804315284696,0.8799367792666362,0.025465188906330875,9,sparse_cg,1.915500555573528e-05
"{'solver': 'sparse_cg', 'alpha': 2.5966559729348725e-05}",0.04278129133308539,0.003767832033248267,0.00042202766659708385,0.00014227069561827997,0.8645086871476653,0.859598493962404,0.9159201701547321,0.8799146143170395,0.025438651611163023,10,sparse_cg,2.5966559729348725e-05
"{'solver': 'svd', 'alpha': 3.2397426295281954e-06}",0.03905409700018936,0.034811991970671814,0.0003704999993108989,7.944593370182863e-05,0.8775717096401702,0.8493767059876902,0.9126653731718586,0.879784962643138,0.025867856873006148,11,svd,3.2397426295281954e-06
"{'solver': 'saga', 'alpha': 3.3076497807442426e-06}",0.01100102766577038,0.005259295784571631,0.00029986133328444947,1.760928903549597e-05,0.8641404433666489,0.8603162059198219,0.9144670934916678,0.8795496006298208,0.024642633997683266,12,saga,3.3076497807442426e-06
"{'solver': 'saga', 'alpha': 0.0005078152112327676}",0.011129527668041797,0.004239626157377598,0.00032063866577421624,7.772978826243155e-06,0.8640941317890687,0.8603548194219515,0.9144674314011048,0.8795471398956283,0.02464242335517116,13,saga,0.0005078152112327676
"{'solver': 'saga', 'alpha': 2.6510836019085362e-05}",0.010983291667798767,0.004788258610133161,0.0003101246669151199,2.0362661892793703e-05,0.8640806117884043,0.8603484987345291,0.9144650783053437,0.8795397286918049,0.02464579665735621,14,saga,2.6510836019085362e-05
"{'solver': 'svd', 'alpha': 2.560993100258457e-06}",0.024835944668060012,0.0012829790378328667,0.0003320139997716372,3.483828410899404e-05,0.8775943735595297,0.8426005532344667,0.9125721009300158,0.8774969484737357,0.02854682573497057,15,svd,2.560993100258457e-06
