,R^2,MAE,MSE,MAPE,MedAE
Multi-layer Perceptron,0.9307119307985706,1.6361181184786893,4.918656685429954,0.5179691403982007,1.1976722309888266
Ridge,0.9130364926613432,1.8590962643123503,6.1509687177745915,0.4902495209509943,1.5578872362274518
Random Forest,0.9205889170098531,1.6667949342774457,5.676292436136322,0.3973486325011939,1.0417999098940602
