substituent,molecular_formula,Name,ΔVC-m,ΔVC -p,σm,σp,Fb,Rc,cid,molecular_weight,exact_mass,monoisotopic_mass,charge,heavy_atom_count,h_bond_donor_count,h_bond_acceptor_count,xlogp,tpsa,canonical_smiles,complexity,covalent_unit_count,all_atoms_count,all_atoms_count_unique,Num_of_Rings,heavy_atoms,aromatic_bond,single_bond,double_bond,triple_bond,C,H,N,O,P,S,F,Se,Cl,Br,Si,Ge,B,As
]633;C]633;E;for m in 592868 13334225 12929704 12550549 13799698 9993363 4171287 \x3b do grep ${m} pubchem_data_2023-12-04.csv \x3b done >> add_this_compunds.csv;531dcec0-355c-4642-ab24-161fcc5c05e2SeCH=CHCl ,C8H7ClSe,chloroethenyl]selanylbenzene,7.303588889999275,6.0,0.28,0.26,0.3,-0.04,13334225,217.56,217.94015,217.94015,0,10,0,0,,0.0,C1=CC=C(C=C1)[Se]C=CCl,106.0,1,17,4,1,10,6,3,1,0,8.0,7.0,,,,,,1.0,1.0,,,,,
P(Cl)NMe2,C8H11ClNP,Chloro(phenyl)(dimethylamino)phosphine,5.672062889999733,6.1,0.38,0.56,0.31,0.25,12929704,187.6,187.031764,187.031764,0,11,0,1,2.5,3.2,CN(C)P(C1=CC=CC=C1)Cl,113.0,1,22,5,1,11,6,5,0,0,8.0,11.0,1.0,,1.0,,,,1.0,,,,,
PO(C6H5)C6H4-4Me,C19H17OP,(4-Methylphenyl)(oxo)diphenyl-lambda~5~phosphane,5.044552890000081,6.1,0.13,0.3,0.09,0.21,12550549,292.3,292.101702159,292.101702159,0,21,0,1,3.2,17.1,CC1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,336.0,1,38,4,3,21,16,4,1,0,19.0,17.0,,1.0,1.0,,,,,,,,,
CH2PO(C6H5)2,C19H17OP,Benzyldiphenylphosphine oxide,-2.109061109999967,-2.5,0.14,0.01,0.21,-0.2,12550549,292.3,292.101702159,292.101702159,0,21,0,1,3.2,17.1,CC1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,336.0,1,38,4,3,21,16,4,1,0,19.0,17.0,,1.0,1.0,,,,,,,,,
CF2CF2C6H4-4F,C14H9F5,"1-fluoro-4-(1,1,2,2-tetrafluoro-2-phenylethyl)benzene",11.570656889999363,12.3,0.34,0.39,0.32,0.07,9993363,272.21,272.0624411,272.0624411,0,19,0,5,4.6,0.0,C1=CC=C(C=C1)C(C(C2=CC=C(C=C2)F)(F)F)(F)F,288.0,1,28,3,2,19,11,8,0,0,14.0,9.0,,,,,5.0,,,,,,,
SC(CF3)3,C10H5F9S,"1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl]sulfanylbenzene",14.206198889999907,15.7,0.51,0.58,0.47,0.11,4171287,328.2,327.99682479,327.99682479,0,20,0,10,5.7,25.3,C1=CC=C(C=C1)SC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,285.0,1,25,4,1,20,6,14,0,0,10.0,5.0,,,,1.0,9.0,,,,,,,
