substituent,canonical_smiles,DV_C,DV_n,examples
C(CF3)3,C1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,13.453,14.0,28
SiMeF2,C[Si](C1=CC=CC=C1)(F)F,7.304,8.9,27
As(O)Et2,CC[As](=O)(CC)C1=CC=CC=C1,5.831,7.42,25
PS(C6H5)2,C1=CC=C(C=C1)P(=S)(C2=CC=CC=C2)C3=CC=CC=C3,7.115,8.1,25
Si(Me)(OSiMe3)2,C[Si](C)(C)O[Si](C)(C1=CC=CC=C1)O[Si](C)(C)C,-1.921,-0.7,25
SCF2CF2CF3,C1=CC=C(C=C1)SC(C(C(F)(F)F)(F)F)(F)F,13.516,14.5,23
SiFMe2,C[Si](C)(C1=CC=CC=C1)F,5.233,2.9,23
P(Cl)NMe2,CN(C)P(C1=CC=CC=C1)Cl,5.672,6.1,21
SeCN,C1=CC=C(C=C1)[Se]C#N,16.026,16.4,21
GeH3,C1=CC=C(C=C1)[GeH3],5.045,2.6,20
P(CF3)2,C1=CC=C(C=C1)P(C(F)(F)F)C(F)(F)F,15.336,17.2,19
GeMe3,C[Ge](C)(C)C1=CC=CC=C1,-1.795,-1.4,17
PF2,C1=CC=C(C=C1)P(F)F,13.077,14.9,17
SiF3,C1=CC=C(C=C1)[Si](F)(F)F,14.206,16.1,17
BF2,B(C1=CC=CC=C1)(F)F,8.81,12.1,15
POF2,C1=CC=C(C=C1)P(=O)(F)F,20.293,22.2,15
SCF(CF3)2,C1=CC=C(C=C1)SC(C(F)(F)F)(C(F)(F)F)F,13.328,14.3,14
SeCH=CHCl,C1=CC=C(C=C1)[Se]C=CCl,7.304,6.0,13
P(CN)2,C1=CC=C(C=C1)P(C#N)C#N,20.67,21.9,11
AsO(C6H5)2,C1=CC=C(C=C1)[As](=O)(C2=CC=CC=C2)C3=CC=CC=C3,6.333,7.636,9
P(S)Cl2,C1=CC=C(C=C1)P(=S)(Cl)Cl,16.465,19.7,9
OMe,COC1=CC=CC=C1,-0.2,-5.0,7
SC(CF3)3,C1=CC=C(C=C1)SC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,14.206,15.7,7
SF5,C1=CC=C(C=C1)S(F)(F)(F)(F)F,21.799,21.6,7
As(S)Et2,CC[As](=S)(CC)C1=CC=CC=C1,7.61,9.091,5
GeBr3,C1=CC=C(C=C1)[Ge](Br)(Br)Br,14.834,15.6,5
GeCl3,C1=CC=C(C=C1)[Ge](Cl)(Cl)Cl,16.34,17.3,5
GeF3,C1=CC=C(C=C1)[Ge](F)(F)F,20.795,22.0,5
PF4,C1=CC=C(C=C1)P(F)(F)(F)F,18.662,22.1,5
SeCF3,C1=CC=C(C=C1)[Se]C(F)(F)F,11.918,12.744,5
SiBr3,C1=CC=C(C=C1)[Si](Br)(Br)Br,12.01,13.6,5
OH,C1=CC=C(C=C1)O,2.346,-2.0,3
]633;C]633;E;for m in 592868 13334225 12929704 12550549 13799698 9993363 4171287 \x3b do grep ${m} pubchem_data_2023-12-04.csv \x3b done >> add_this_compunds.csv;531dcec0-355c-4642-ab24-161fcc5c05e2SeCH=CHCl,C1=CC=C(C=C1)[Se]C=CCl,7.304,6.0,2
2-thienyl,C1=CC=C(C=C1)C2=CC=CS2,2.427,1.588,2
3-thienyl,C1=CC=C(C=C1)C2=CSC=C2,1.224,0.432,2
As(Et)2,CC[As](CC)C1=CC=CC=C1,0.481,0.45,2
C6H5,C1=CC=C(C=C1)C2=CC=CC=C2,0.715,0.2,2
CH(CN)2,C1=CC=C(C=C1)C(C#N)C#N,17.532,17.0,2
COCl,C1=CC=C(C=C1)C(=O)Cl,16.277,19.1,2
P(O)Cl2,C1=CC=C(C=C1)P(=O)(Cl)Cl,19.226,20.7,2
PCl2,C1=CC=C(C=C1)P(Cl)Cl,14.143,15.6,2
SO2CF2CF3,C1=CC=C(C=C1)S(=O)(=O)C(C(F)(F)F)(F)F,23.242,24.8,2
SO2F,C1=CC=C(C=C1)S(=O)(=O)F,24.271,25.382,2
CH3,CC1=CC=CC=C1,-2.109,-3.3,1
CN,C1=CC=C(C=C1)C#N,17.03,18.0,1
OCH3,COC1=CC=CC=C1,-0.164,-5.0,1
