substituent,canonical_smiles,DV_C,DV_n,examples
N(Me)SO2Me,CS(=O)CC(C1=CC=CC=N1)O,3.539,3.9,2348
NHSO2C6H5,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC=C2,3.601,4.8,2318
COOMe,C1=CC=C(C=C1)CC(=O)O,6.049,8.2,2294
NHNO2,C1=CC(=CC(=C1)[N+](=O)[O-])N,12.826,11.0,2272
N(C6H5)2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,0.526,-2.3,2082
NHNH2,C1C2C1C(NC2)C#N,-5.874,-11.2,2079
NHCOC6H5,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,1.593,-1.5,2067
Et,CCC1=CC=CC=C1,-2.799,-4.0,2061
CONHMe,C1C2C=CC1C3C2C(=O)N3,5.547,6.4,2052
NHCOMe,C1C2C=CC1C3C2C(=O)N3,1.782,-1.4,2052
NHCOCH2Cl,C1C2CC(C1C3C2O3)(C#N)Cl,4.605,2.0,2039
NHOH,C1=CC(=CC=C1N)O,-0.478,-5.1,2003
C6H4-4Et,CC1=CC=C(C=C1)C2=CC=C(C=C2)C,-0.478,-1.1,1966
SO2Et,CCOC(=O)C1C2C1SC=C2,15.273,16.1,1966
NHC6H5,C1=CC=C(C=C1)NC2=CC=CC=C2,0.024,-4.8,1958
N(Me)2,C1=CC=C(C=C1)CCN,-6.439,-12.3,1954
CH2OMe,CC(C1=CC=CC=C1)O,4.605,0.6,1871
OCH2CH3,CC(C1=CC=CC=C1)O,-0.917,-5.8,1871
isopropyl,CC(C)C1=CC=CC=C1,-2.297,-3.3,1776
COOC6H5,CC#CC#CC=C1C=CC2(O1)CC=CO2,7.806,10.0,1768
CH2NH2,C1=CC=C(C=C1)CN,-2.988,-3.5,1761
1-CYCLOPENTENYL,C=CC1CC1C2=CC=CC=C2,-1.589,-2.155,1710
SO2NH2,C1=CC=C(C=C1)S(=O)(=O)N,17.093,17.5,1664
5-pyrimidinyl,C1=CC=NC(=C1)C2=CC=CC=N2,8.759,8.291,1654
CH=CHCOC6H5,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,7.492,8.4,1648
NHCSNH2,C1CC2C1N3C=CN=C3S2,4.354,1.0,1641
CH=NC6H5,CN1C2=CC=CC=C2C3=CC=CC=C31,7.492,9.0,1564
CSNHMe,C1C2CC(C1C=C2)N=C=S,6.488,7.0,1543
N(Me)COCF3,C1C(CN1)OC2=C(C(=CC(=C2)F)F)F,12.614,12.304,1467
2-AZIRIDINYL,C1C2CC(C1C=C2)C#N,3.702,1.682,1459
CH(C6H5)2,CC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3,-0.729,-1.4,1457
CH2OH,C1=CC=C(C=C1)CO,-2.737,-3.8,1442
CONH2,C1=CC=C(C=C1)C(=O)N,7.053,8.1,1413
SO2C6H5,C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2,13.641,14.4,1343
OSO2C6H5,C1=CC=C2C(=C1)OC3C=CC=CC3S2(=O)=O,4.166,4.4,1299
