,R^2,MAE,MSE,MAPE,MedAE
Multi-layer Perceptron,0.9393724525565459,1.5288330394883929,4.820124790785577,0.5515767545071165,1.0066016161255649
Stochastic Gradient Descent,0.9236432288920714,1.874519856379779,6.070658980638086,0.5703336930529695,1.447508854579
Bayesian Ridge,0.9355955771868203,1.6909394420960322,5.120401007934238,0.5553360966247481,1.2629171207197305
ARD Regression,0.9309772958876154,1.6857553012261064,5.4875722546662855,0.521196761641443,1.2637357448218047
Ridge,0.9279277095581973,1.7601220628333787,5.730026176817408,0.5826465812183225,1.2626978664187893
