text,DV_C,DV_n
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][Branch1][=Branch1][S][C][=C][Ring1][Branch1][C][C][=Branch1][C][=O][O],4.166038889999899,4.4
[C][C][C][C][C][Ring1][Ring1][=C][C][=C][C][Ring1][=Branch2][C][Ring1][Ring1],-2.736571110000734,-3.9
[C][C][=Branch1][#Branch1][=C][C][=Branch1][C][=O][O][C][=C][S][Ring1][=Branch2],14.83370888999956,15.0
[C][C][=C][C][=Branch1][=C][=C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][#Branch2][C][#N][C][=Branch1][C][=O][C],-1.98355911000026,-3.8
[C][C][=C][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][Ring1][=Branch1][=O],-0.1637801100000418,-3.4
[C][C][C][C][=C][Branch1][=Branch1][O][C][=N][Ring1][Branch1][C][#C],7.491841889999951,6.7
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][C],-2.109061109999967,-3.0
[C][C][Branch1][C][C][C][=Branch1][Ring2][=C][C][=C][C][=N][C][=C],-5.685868110000548,-11.6
[C][=C][C][=Branch1][Ring2][=C][N][=O][C][=C][Ring1][Branch2],16.27698188999954,19.2
[C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][C][=C][N][=C][C][=C][Ring1][=Branch1],-3.5523341099999475,-6.6
[C][C][C][C][C][=C][Ring1][Branch1][C][=C][S][Ring1][Branch1],1.028488889999409,-2.2
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],6.063001619999201,8.032127999999116
[C][=C][C][Branch1][#Branch2][C][=Branch1][Ring1][=C][Cl][C][=C][Ring1][Branch2][O],0.71473389000014,2.2
[C][C][=C][C][=Branch1][Ring2][=C][C][#C][C][O][C],1.2167418900000848,0.3
[C][C][C][C][Ring1][Ring1][C][=Branch1][C][=C][C][C][C][Ring1][Ring1][Branch1][N][P][Ring1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C],4.103287890000045,1.5
[C][C][Branch1][N][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C][O],5.35830788999935,7.5
[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][O],3.6012798900001006,3.9
[C][C][=Branch1][C][=O][C][C][C][Ring1][Ring1][C][=C][C][=C][Ring1][Branch1],6.927082890000152,8.9
[C][N][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2],0.5264808899994641,-2.3
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],-0.1637801100000418,-3.4
[C][C][=C][C][=Branch1][=C][=C][C][=C][Ring1][=Branch1][C][Branch1][Branch1][C][O][Ring1][Branch1][N][N],-1.9208081100004053,-5.8
[C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Ring1][=Branch1][=O],1.3422438899997922,-2.4
[C][C][C][Branch2][Ring1][C][C][Branch1][=C][C][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][O][O],4.668046889999844,4.9
[C][C][=C][C][=C][Branch1][Ring1][C][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Ring2][=C][C][=C][C][=C][C],-3.670933500000362,-4.760918370000564
[C][C][=N][C][=Branch1][Branch1][=C][S][Ring1][Branch1][C][N][C][Branch1][C][C][C][#C],0.6519828900002863,-1.8
[C][C][N][C][Ring1][Ring2][C][=C][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][O],-1.9208081100004053,-5.8
[C][=C][C][C][=C][N][Branch1][Branch1][N][=N][Ring1][Branch1][C][C][=C],-4.368097110000275,-5.6
[C][C][Branch1][C][C][N][C][C][=N][C][C][=C][Ring1][Branch1][C][Ring1][Branch2][=O],-1.9208081100004053,-5.8
[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][C][=O][N][Ring1][#Branch1][C][C][Ring1][=N],-0.1637801100000418,-3.4
[C][C][C][=C][Branch1][Branch1][C][Ring1][Branch1][N][C][=C][C][=Branch1][Ring2][=C][Ring1][Branch2][C][O],1.404994889999646,-1.8
[C][C][=C][C][C][Branch1][O][N][C][=Branch1][C][=O][N][=C][Ring1][#Branch1][N][N][=C][Ring1][N],4.542544890000136,3.8
[C][C][C][C][C][=C][C][=Branch1][Branch1][=C][O][Ring1][Branch1][C][=C],-3.2385791100006784,-3.7
[C][C][=Branch1][C][=C][C][=Branch1][O][=C][Branch1][Ring1][C][=C][C][=Branch1][C][=C][O][C],-3.2385791100006784,-3.7
[C][C][=C][Branch1][C][C][C][=C][C][=C][C][=Branch1][C][=C][C][Ring1][#Branch1],-2.6738201099997654,-3.7
[C][C][C][C][C][=N][C][=C][Branch1][#Branch2][C][=Branch1][C][=O][N][Ring1][#Branch2][Ring1][#Branch1][C],-1.9208081100004053,-5.8
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],14.519953890000291,12.2
[C][C][=Branch1][O][=C][C][C][C][=C][C][=C][O][Ring1][Branch1][C],-3.2385791100006784,-3.7
[C][C][=Branch1][C][=C][C][Branch1][Branch2][C][C][C][=C][C][Ring1][=Branch1][C][=O],-3.2385791100006784,-3.7
[C][N][Branch1][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],0.71473389000014,-3.0
[C][C].[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][O][Ring1][=Branch2],0.5264808899994641,-3.2
[C][C][=C][Branch1][=N][O][C][=Branch1][Ring2][=C][Ring1][Branch1][C][=Branch1][C][=C][N][C][=Branch1][C][=C][N],-1.9208081100004053,-5.8
[C][C][=C][C][=Branch1][O][=C][C][Ring1][Branch1][C][C][C][C][Ring1][=Branch1][C],-2.234563110000789,-2.9
[C][N][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][#Branch2],0.71473389000014,-3.0
[C][#C][C][C][N][C][=Branch1][C][=O][C][=C][Branch1][=Branch1][C][=N][N][Ring1][Branch1][N],4.542544890000136,3.8
[C][C][Branch1][C][C][C][=C][C][Branch1][Branch1][C][=C][Ring1][Branch1][C][=Branch1][C][=C][C],-2.234563110000789,-2.9
