cid,substituent,canonical_smiles,DV_C,DV_n
6829,C6H4-3NO2,C1=CC=C(C=C1)C2=CC=CC=C2[N+](=O)[O-],8.49585788999984,8.1
6835,CH2OC6H5,COC1=CC=CC=C1C2=CC=CC=C2,3.099271890000156,1.7
6877,NHCOOEt ,CCOC(=O)C1=CC=CC=C1N,0.71473389000014,-3.0
6884,OCCl3,COC1=C(C=C(C=C1Cl)Cl)Cl,12.63742389000022,11.1
6893,NHEt ,CC1=C(C(=CC=C1)N)C,-5.497615109999872,-11.4
6896,NHEt ,CC1=C(C(=CC=C1)C)N,-5.497615109999872,-11.4
6898,OCH2Cl ,CC1=C(C(=CC=C1)Cl)O,0.71473389000014,2.2
6913,CH2NMe2,CC1=CC(=C(C(=C1)C)N)C,-2.109061109999967,-2.6
6923,CH2C(OH)(Me)2,CC(C)(C)C1=CC=CC=C1O,-3.2385791100006784,-3.7
6924,NHSO2Me,CC1=CC=CC=C1S(=O)(=O)N,9.31162089000017,6.2
6925,OSO2Me ,CC1=CC=CC=C1S(=O)(=O)O,7.680094889999512,6.3
6937,O(CH2)4CH3,CC1=CC(=C(C=C1)C(C)(C)C)O,-1.3560491100006071,-6.2
6942,NHCONH2,C1=CC=C(C(=C1)C(=O)N)N,0.0872238899993731,-3.7
6943,CH2CH(OH)Me ,CC(C)C1=CC=CC=C1O,1.2167418900000848,0.3
6946,NHNO2,C1=CC=C(C(=C1)N)[N+](=O)[O-],12.825676889999782,11.0
6947,ONO2 ,C1=CC=C(C(=C1)[N+](=O)[O-])O,14.017945889999233,13.4
6974,NHCOOMe ,CC1=CC(=C(C=C1)C)[N+](=O)[O-],1.3422438899997922,-2.4
6984,CH2C(OH)(Me)2,CCC(C)C1=CC=CC=C1O,-3.2385791100006784,-3.7
6985,COCHMe2 ,CC1=CC(=C(C=C1)C(=O)C)C,6.801580889999331,8.9
6989,CH2C(OH)(Me)2,CC1=CC(=C(C=C1)C(C)C)O,-3.2385791100006784,-3.7
6991,NHCOOMe ,CC1=CC(=C(C=C1)[N+](=O)[O-])C,1.3422438899997922,-2.4
6993,NHEt ,CC1=CC=CC=C1CN,-5.497615109999872,-11.4
6994,CH(OH)Me ,CC1=CC=CC=C1CO,3.4130268899994247,1.0
6997,CH(OH)Me ,CCC1=CC=CC=C1O,3.4130268899994247,1.0
6998,COOH ,C1=CC=C(C(=C1)C=O)O,8.558608889999695,10.9
7005,2-furyl,C1=CC=C2C(=C1)C=CC=C2O,1.452685649999624,0.1832329199999742
7011,NHCOCH(Me)2,CCC(C1=CC=CC=C1)C(=O)N,1.404994889999646,-1.8
7015,NHC6H5,C1=CC=C(C=C1)C2=CC=CC=C2N,0.0244728899995193,-4.8
7017,OC6H5,C1=CC=C(C=C1)C2=CC=CC=C2O,3.6640308899999545,0.0
7037,CH2OC6H5,C1=CC=C(C=C1)C(C2=CC=CC=C2)O,3.099271890000156,1.7
7047,CH=CHCN ,C1=CC=C2C(=C1)C=CC=N2,13.20218289000002,13.9
7057,1-PYRRYL,C1=CC=C2C=C(C=CC2=C1)N,6.654116039999339,4.054342109999892
7059,1-PYRRYL,CC1=CC2=C(C=C1)N=CC=C2,6.654116039999339,4.054342109999892
7060,1-PYRRYL,CC1=NC2=CC=CC=C2C=C1,6.654116039999339,4.054342109999892
7061,NH(CH2)3CH3,CCN(CC)C1=CC=CC=C1,-5.685868110000548,-11.6
7095,C6H5,C1=CC=C(C=C1)C2=CC=CC=C2,0.71473389000014,0.2
7101,C6H4-3Br,C1=CC=C(C=C1)C2=CC=C(C=C2)Br,4.793548889999552,3.7
7102,NHC6H5,C1=CC=C(C=C1)C2=CC=C(C=C2)N,0.0244728899995193,-4.8
7103,OC6H5,C1=CC=C(C=C1)C2=CC=C(C=C2)O,3.6640308899999545,0.0
7106,CH=NC6H5,C1C2=CC=CC=C2NC3=CC=CC=C31,7.491841889999951,9.0
7107,COC6H5,C1C2=CC=CC=C2OC3=CC=CC=C31,6.613327889999769,8.4
7114,C6H4-3NO2,C1=CC=C(C=C1)C2=CC=C(C=C2)[N+](=O)[O-],8.49585788999984,8.1
7122,OC6H5,CC(=O)C1=CC2=CC=CC=C2C=C1,3.6640308899999545,0.0
7135,NHCOOEt ,CC(=O)NC1=CC=CC=C1OC,0.71473389000014,-3.0
7146,COEt ,CC(C=O)C1=CC=CC=C1,6.927082890000152,8.9
7147,CH2CH(OH)Me ,CCC(C1=CC=CC=C1)O,1.2167418900000848,0.3
7148,COEt ,CCC(=O)C1=CC=CC=C1,6.927082890000152,8.9
7150,COOMe ,COC(=O)C1=CC=CC=C1,6.04856888999997,8.2
7165,COOEt ,CCOC(=O)C1=CC=CC=C1,5.35830788999935,7.5
7168,CONHC6H5,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,8.621359889999548,9.3
7169,COOC6H5,C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,7.80559688999922,10.0
7171,O(CH2)4CH3,CCCC(C)C1=CC=C(C=C1)O,-1.3560491100006071,-6.2
7176,NHCOO(CH2)3CH3,CC(C)COC(=O)C1=CC=C(C=C1)N,0.5264808899994641,-3.2
7189,CH=CHCOC6H5,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,7.491841889999951,8.4
7201,CH2NMe2,CCNC1=CC=CC=C1C,-2.109061109999967,-2.6
7202,CH2CONH2,CC1=CC=CC=C1NC=O,7.491841889999951,6.7
7212,CCl3,C1=CC(=C(C=C1Cl)Cl)CCl,11.319652889999947,11.7
7218,2-AZIRIDINYL,C1C2CC(C1C=C2)C#N,3.701681489999644,1.6817267999998704
7219,C≡CMe ,C1C=CC2=CC=CC=C21,0.7774848899999938,1.3
7220,N3 ,C1=CC2=NNN=C2C=C1,4.542544890000136,5.4
7221,SC=CH,C1=CC=C2C(=C1)C=CS2,6.553086929999151,4.078187489999881
7222,SCN ,C1=CC=C2C(=C1)N=CS2,16.778989889999487,17.1
